common carrier	responsibility: safely transport people or goods
hangar bay	structure: sheltered
etiologic agent	host: human
guiding	responsibility: leader's responsibility
transit shelter	purpose: convenience
port facility	security: customs control
dangerous goods	transportation restrictions: restricted quantities
flatcar	found in: port
road junction	traffic flow: four-way
cabotage	benefits: promoting entrepreneurship
port facility	location: seaport
international airport	function: arriving/departing passengers
deepwater port	infrastructure: docks
hopper dredger	size: can be hundreds of feet long
railway vehicle	purpose: stopping train
broad gauge railway	history: developed
material handling equipment	speed: fast
navigation buoy	function: assist in navigation
organizational process	outputs: data
transitway	features: junctions
emergency road vehicle	type: rescue vehicle
intentional process	goals: overcoming obstacles
hopper dredger	function: deepen waterways
hangar bay	equipment: hanging lights
parking garage	management: fee-based
canal lock	mechanism: water level difference
cargo ship	staff: engineer
offshore anchorage	function: reducing fatigue
arriving	method: flying
commercial airport	location: worldwide
ore carrier ship	found in: sea
turbojet engine	performance: high-speed
rolling stock	function: storing
broad gauge railway	characteristics: strong
railroad track	used for: moving people
passenger ship	facilities: spa
shipping lane	regulation: regulated by local authorities
cargo handling	stages: storing
legal charge	circumstances: breach of contract
glider airplane	speed: dependent on wind
electronic device	used for: browsing
intermodal transportation	containerization: interchangeable
cargo ship	cargo capacity: volume
road junction	features: crosswalk
shipping channel	importance: safety considerations
commercial shipping	technology: containerization
railroad company	revenue streams: frieght charges
sea lane	characteristics: popular
petroleum product	products: plastics
managing	goal: satisfaction
sport utility vehicle	used for: off-road driving
intermodal transportation	advantages: environmentally friendly
containerization	purpose: reducing costs
radar facility	functionality: enemy detection
deepwater port	infrastructure: cranes
whaling ship	activities: loading cargo
container ship	structure: deck
crew list	format: printed
port city	culture: vibrant
flight schedule	inclusion: aircraft types
guiding	style: indirect
dining car	facilities: chair
moving violation	avoiding: following traffic rules
deepwater port	types: natural
emergency vehicle	location: roadside
motor scooter	environmental impact: low emissions
broad gauge railway	difference: different from standard gauge
railway junction	operation: trains passing
railroad track	location: industrial
vehicle registration	information required: owner's name
river port	economic significance: global trade
common carrier	responsibility: on-time delivery
canal system	length: long
lighter	uses: camping
animal powered vehicle	main purpose: recreation
volume measure	example: air in a room
bill of lading	function: proof of delivery
common carrier	responsibility: liable for delay
electrified railway	disadvantages: limited range
legal charge	violation: regulation
petroleum product pipeline	safety measures: emergency shutdown
chemical tanker ship	environmental impact: marine pollution
sport utility vehicle	used for: family transportation
cabotage	benefits: stimulating economy
ocean liner	luxury: luxurious
scale test car	location: manufacturing plant
vehicle crew	teamwork: coordinating
guiding	source: mentor
railroad company	operation: daily
cargo ship	function: carry heavy loads
glider airplane	use: recreational flying
flatcar	design: practical
airport classification	aircraft size: large
road transportation system	mode: motorcycle
set	properties: cardinality
canal	features: waterfalls
flight deck	function: parking aircraft
cargo ship	operation: at sea
railroad track	associated with: train
electrical signalling	neurotransmitters involved: acetylcholine
taking off	weather: favorable
fire boat	operator: port authority
terminal building	features: gates
intentional process	definition: voluntary
ocean liner	speed: average speed
spine car	purpose: entertainment
glider airplane	design: wing-shaped
drilling ship	operation: anchored in sea
attribute	type: private
offshore anchorage	features: charted
internal attribute	relation to external attributes: contradictory
taking off	preconditions: proper preparation
ship agent	responsibilities: resolving disputes
ship agent	knowledge domain: shipping regulations
ship agent	workplace: shipping yard
attaching	purpose: holding together
offshore support ship	operating area: seas
air traffic control center	function: managing traffic
vehicle wheel	used in: trucks
internal attribute	access: read
tugboat	used in: canals
crew list	audience: authority
petroleum pipeline	construction: underwater
jet engine	location: factory
diesel engine	maintenance: regular
light truck	location: construction site
port facility	size: idle
electronic device	input: touch
transitway	users: truckers
dry bulk cargo	properties: high volume
hopper dredger	usage: environmental cleanup
electric device	material: glass
vehicle registration	duration: multi-year
commercial shipping	cargo: containers
pier	function: docking point
crane ship	equipment: winch
cab car	features: multiple wheels
transportation schedule	relevance: private
rolling stock	materials: metal
transportation system	environmental impact: polluting
mass measure	used for: commerce
government organization	function: infrastructure management
relational attribute	scope: schema
keeping	reason: sentiment
registry ton	purpose: standardizing shipping measurements
transit terminal	layout: separate sections
transit stop	characteristics: quiet
river port	function: export
railroad company	employees: staff
